WCS ++,25,Empire Spikes Back,0,7/31/2019,F,Loss
WCS ++,25,Empire Spikes Back,0,7/31/2019,F,Loss
WCS ++,25,Empire Spikes Back,0,7/31/2019,F,Loss
Hit n Hope,0,Empire Spikes Back,0,7/31/2019,FFV,Loss
Hit n Hope,0,Empire Spikes Back,0,7/31/2019,FFV,Loss
Hit n Hope,0,Empire Spikes Back,0,7/31/2019,FFV,Loss
Notorious D.I.G.,25,Empire Spikes Back,15,7/17/2019,F,Loss
Empire Spikes Back,25,Notorious D.I.G.,15,7/17/2019,F,Win
Notorious D.I.G.,25,Empire Spikes Back,15,7/17/2019,F,Loss
All Day,25,Empire Spikes Back,8,7/15/2019,F,Win
All Day,25,Empire Spikes Back,24,7/15/2019,F,Loss
All Day,25,Empire Spikes Back,6,7/15/2019,F,Win
The Wizards of Blocks,25,Empire Spikes Back,12,7/15/2019,F,Loss
The Wizards of Blocks,25,Empire Spikes Back,6,7/15/2019,F,Win
The Wizards of Blocks,25,Empire Spikes Back,11,7/15/2019,F,Loss
Department of Offense,25,Empire Spikes Back,20,7/9/2019,F,Loss
Department of Offense,25,Empire Spikes Back,20,7/9/2019,F,Loss
Department of Offense,25,Empire Spikes Back,20,7/9/2019,F,Loss
Empire Spikes Back,25,SEND IT,16,7/9/2019,F,Win
SEND IT,25,Empire Spikes Back,18,7/9/2019,F,Loss
SEND IT,25,Empire Spikes Back,10,7/9/2019,F,Loss
That's What CSEDS,25,Empire Spikes Back,13,6/11/2019,F,Loss
That's What CSEDS,26,Empire Spikes Back,24,6/11/2019,F,Loss
That's What CSEDS,25,Empire Spikes Back,21,6/11/2019,F,Loss
tigers,25,Empire Spikes Back,12,6/11/2019,F,Loss
Empire Spikes Back,25,tigers,18,6/11/2019,F,Win
Empire Spikes Back,25,tigers,20,6/11/2019,F,Win
Empire Spikes Back,0,That's What CSEDS,0,6/5/2019,PPD,Win
Empire Spikes Back,0,That's What CSEDS,0,6/5/2019,PPD,Win
That's What CSEDS,25,Empire Spikes Back,13,6/5/2019,F,Loss
Empire Spikes Back,25,One company One team,15,6/5/2019,F,Win
Empire Spikes Back,25,One company One team,18,6/5/2019,F,Win
Empire Spikes Back,25,One company One team,20,6/5/2019,F,Win
Notorious D.I.G.,0,Empire Spikes Back,0,5/28/2019,PPD,Win
Notorious D.I.G.,0,Empire Spikes Back,0,5/28/2019,PPD,Win
Notorious D.I.G.,0,Empire Spikes Back,0,5/28/2019,PPD,Win
Volley Llamas,25,Empire Spikes Back,23,5/28/2019,F,Loss
Volley Llamas,25,Empire Spikes Back,14,5/28/2019,F,Loss
Empire Spikes Back,25,Volley Llamas,16,5/28/2019,F,Win
Volleybrawler,25,Empire Spikes Back,14,5/22/2019,F,Loss
Empire Spikes Back,25,Volleybrawler,21,5/22/2019,F,Win
Volleybrawler,25,Empire Spikes Back,21,5/22/2019,F,Loss
Empire Spikes Back,25,Volley Llamas,16,5/22/2019,F,Win
Empire Spikes Back,20,Volley Llamas,18,5/22/2019,F,Win
Empire Spikes Back,25,Volley Llamas,20,5/22/2019,F,Win
Empire Spikes Back,25,tigers,21,5/15/2019,F,Win
Empire Spikes Back,25,tigers,23,5/15/2019,F,Win
Empire Spikes Back,25,tigers,19,5/15/2019,F,Win
Empire Spikes Back,25,How I set your mother,0,5/15/2019,F,Win
Empire Spikes Back,25,How I set your mother,0,5/15/2019,F,Win
Empire Spikes Back,25,How I set your mother,0,5/15/2019,F,Win
