Hit n Hope,25,How I set your mother,20,7/31/2019,F,Win
How I set your mother,25,Hit n Hope,23,7/31/2019,F,Loss
Hit n Hope,25,How I set your mother,16,7/31/2019,F,Win
Hit n Hope,0,Empire Spikes Back,0,7/31/2019,FFV,Win
Hit n Hope,0,Empire Spikes Back,0,7/31/2019,FFV,Win
Hit n Hope,0,Empire Spikes Back,0,7/31/2019,FFV,Win
Violators,25,Hit n Hope,15,7/24/2019,F,Loss
Violators,25,Hit n Hope,15,7/24/2019,F,Loss
Violators,25,Hit n Hope,15,7/24/2019,F,Loss
All Day,25,Hit n Hope,10,7/24/2019,F,Loss
All Day,25,Hit n Hope,9,7/24/2019,F,Win
All Day,25,Hit n Hope,16,7/24/2019,F,Loss
Volleybrawler,25,Hit n Hope,15,7/8/2019,F,Loss
Hit n Hope,25,Volleybrawler,14,7/8/2019,F,Win
Hit n Hope,25,Volleybrawler,10,7/8/2019,F,Win
Notorious D.I.G.,25,Hit n Hope,15,7/8/2019,F,Loss
Hit n Hope,25,Notorious D.I.G.,15,7/8/2019,F,Win
Notorious D.I.G.,25,Hit n Hope,15,7/8/2019,F,Loss
tigers,25,Hit n Hope,20,7/1/2019,F,Loss
tigers,25,Hit n Hope,20,7/1/2019,F,Loss
tigers,25,Hit n Hope,20,7/1/2019,F,Loss
Sideouts,25,Hit n Hope,19,6/24/2019,F,Loss
Sideouts,25,Hit n Hope,19,6/24/2019,F,Loss
Sideouts,25,Hit n Hope,12,6/24/2019,F,Loss
Bye Week,25,Hit n Hope,20,6/24/2019,F,Loss
Bye Week,25,Hit n Hope,20,6/24/2019,F,Loss
Bye Week,25,Hit n Hope,17,6/24/2019,F,Loss
Faceblock,25,Hit n Hope,20,6/17/2019,F,Loss
Faceblock,25,Hit n Hope,20,6/17/2019,F,Loss
Faceblock,25,Hit n Hope,20,6/17/2019,F,Loss
Department of Offense,25,Hit n Hope,20,6/10/2019,F,Loss
Department of Offense,25,Hit n Hope,20,6/10/2019,F,Loss
Department of Offense,25,Hit n Hope,20,6/10/2019,F,Loss
SEND IT,25,Hit n Hope,14,6/10/2019,F,Loss
Hit n Hope,25,SEND IT,15,6/10/2019,F,Win
Hit n Hope,25,SEND IT,15,6/10/2019,F,Win
BMDOAR Bros.,25,Hit n Hope,20,6/3/2019,F,Loss
BMDOAR Bros.,25,Hit n Hope,20,6/3/2019,F,Loss
BMDOAR Bros.,25,Hit n Hope,20,6/3/2019,F,Loss
Free Beer Initiative (FBI),25,Hit n Hope,18,6/3/2019,F,Loss
Hit n Hope,26,Free Beer Initiative (FBI),24,6/3/2019,F,Win
Free Beer Initiative (FBI),25,Hit n Hope,15,6/3/2019,F,Loss
Sandstorm,25,Hit n Hope,15,5/30/2019,F,Loss
Sandstorm,25,Hit n Hope,15,5/30/2019,F,Loss
Sandstorm,25,Hit n Hope,15,5/30/2019,F,Loss
Sand Sharks,25,Hit n Hope,18,5/30/2019,F,Loss
Sand Sharks,25,Hit n Hope,18,5/30/2019,F,Loss
Sand Sharks,25,Hit n Hope,10,5/30/2019,F,Loss
That's What CSEDS,25,Hit n Hope,23,5/21/2019,F,Loss
Hit n Hope,25,That's What CSEDS,22,5/21/2019,F,Win
That's What CSEDS,25,Hit n Hope,20,5/21/2019,F,Loss
The Wizards of Blocks,25,Hit n Hope,0,5/13/2019,F,Loss
The Wizards of Blocks,25,Hit n Hope,0,5/13/2019,F,Loss
The Wizards of Blocks,25,Hit n Hope,0,5/13/2019,F,Loss
WCS ++,25,Hit n Hope,0,5/13/2019,F,Loss
WCS ++,25,Hit n Hope,0,5/13/2019,F,Loss
WCS ++,25,Hit n Hope,0,5/13/2019,F,Loss
